secondary headers,primary headers,plenum volume,intake runners
6,355,9,2
6,355,9,2.25
6,355,9,2.5
6,355,9,2.75
6,355,9,3.0
6,355,9,3.25
6,355,9,3.5
6,355,9,3.75
6,355,9,4.0
6,355,9.1,2
6,355,9.1,2.25
6,355,9.1,2.5
6,355,9.1,2.75
6,355,9.1,3.0
6,355,9.1,3.25
6,355,9.1,3.5
6,355,9.1,3.75
6,355,9.1,4.0
6,355,9.2,2
6,355,9.2,2.25
6,355,9.2,2.5
6,355,9.2,2.75
6,355,9.2,3.0
6,355,9.2,3.25
6,355,9.2,3.5
6,355,9.2,3.75
6,355,9.2,4.0
6,355,9.299999999999999,2
6,355,9.299999999999999,2.25
6,355,9.299999999999999,2.5
6,355,9.299999999999999,2.75
6,355,9.299999999999999,3.0
6,355,9.299999999999999,3.25
6,355,9.299999999999999,3.5
6,355,9.299999999999999,3.75
6,355,9.299999999999999,4.0
6,355,9.399999999999999,2
6,355,9.399999999999999,2.25
6,355,9.399999999999999,2.5
6,355,9.399999999999999,2.75
6,355,9.399999999999999,3.0
6,355,9.399999999999999,3.25
6,355,9.399999999999999,3.5
6,355,9.399999999999999,3.75
6,355,9.399999999999999,4.0
6,355,9.499999999999998,2
6,355,9.499999999999998,2.25
6,355,9.499999999999998,2.5
6,355,9.499999999999998,2.75
6,355,9.499999999999998,3.0
6,355,9.499999999999998,3.25
6,355,9.499999999999998,3.5
6,355,9.499999999999998,3.75
6,355,9.499999999999998,4.0
6,355,9.599999999999998,2
6,355,9.599999999999998,2.25
6,355,9.599999999999998,2.5
6,355,9.599999999999998,2.75
6,355,9.599999999999998,3.0
6,355,9.599999999999998,3.25
6,355,9.599999999999998,3.5
6,355,9.599999999999998,3.75
6,355,9.599999999999998,4.0
6,355,9.699999999999998,2
6,355,9.699999999999998,2.25
6,355,9.699999999999998,2.5
6,355,9.699999999999998,2.75
6,355,9.699999999999998,3.0
6,355,9.699999999999998,3.25
6,355,9.699999999999998,3.5
6,355,9.699999999999998,3.75
6,355,9.699999999999998,4.0
6,355,9.799999999999997,2
6,355,9.799999999999997,2.25
6,355,9.799999999999997,2.5
6,355,9.799999999999997,2.75
6,355,9.799999999999997,3.0
6,355,9.799999999999997,3.25
6,355,9.799999999999997,3.5
6,355,9.799999999999997,3.75
6,355,9.799999999999997,4.0
6,355,9.899999999999997,2
6,355,9.899999999999997,2.25
6,355,9.899999999999997,2.5
6,355,9.899999999999997,2.75
6,355,9.899999999999997,3.0
6,355,9.899999999999997,3.25
6,355,9.899999999999997,3.5
6,355,9.899999999999997,3.75
6,355,9.899999999999997,4.0
6,355,9.999999999999996,2
6,355,9.999999999999996,2.25
6,355,9.999999999999996,2.5
6,355,9.999999999999996,2.75
6,355,9.999999999999996,3.0
6,355,9.999999999999996,3.25
6,355,9.999999999999996,3.5
6,355,9.999999999999996,3.75
6,355,9.999999999999996,4.0
6,355,10.099999999999996,2
6,355,10.099999999999996,2.25
6,355,10.099999999999996,2.5
6,355,10.099999999999996,2.75
6,355,10.099999999999996,3.0
6,355,10.099999999999996,3.25
6,355,10.099999999999996,3.5
6,355,10.099999999999996,3.75
6,355,10.099999999999996,4.0
6,355,10.199999999999996,2
6,355,10.199999999999996,2.25
6,355,10.199999999999996,2.5
6,355,10.199999999999996,2.75
6,355,10.199999999999996,3.0
6,355,10.199999999999996,3.25
6,355,10.199999999999996,3.5
6,355,10.199999999999996,3.75
6,355,10.199999999999996,4.0
6,355,10.299999999999995,2
6,355,10.299999999999995,2.25
6,355,10.299999999999995,2.5
6,355,10.299999999999995,2.75
6,355,10.299999999999995,3.0
6,355,10.299999999999995,3.25
6,355,10.299999999999995,3.5
6,355,10.299999999999995,3.75
